issue_id,consumption_id,icp_id,retailer_id,billing_month,price_category_code,expected_delivery_charge,system_billed_amount,billing_variance,variance_direction,detected_issue_type,priority,recommended_action,issue_status
ISS001,ICP000076-202602,ICP000076,RET003,2026-02,RSC,88.59,90.63,2.04,Overbilled,INCORRECT_ICP_DAYS,Low,Correct billable day count and recalculate fixed charge,Open - Review Required
ISS002,ICP000107-202602,ICP000107,RET004,2026-02,URES,58.66,60.16,1.5,Overbilled,INCORRECT_ICP_DAYS,Low,Correct billable day count and recalculate fixed charge,Open - Review Required
ISS003,ICP000128-202602,ICP000128,RET001,2026-02,RES,60.95,79.06,18.1,Overbilled,DUPLICATE_CONSUMPTION,Medium,Remove duplicate component and rerun billing validation,Open - Review Required
ISS004,ICP000140-202602,ICP000140,RET002,2026-02,URES,78.04,107.02,28.98,Overbilled,DUPLICATE_CONSUMPTION,High,Remove duplicate component and rerun billing validation,Open - Review Required
ISS005,ICP000296-202602,ICP000296,RET002,2026-02,RES,73.98,73.94,-0.04,Underbilled,WRONG_PRICE_CATEGORY,Low,"Confirm ICP category, correct master data and rebill",Open - Review Required
ISS006,ICP000297-202602,ICP000297,RET001,2026-02,RES,57.92,63.17,5.25,Overbilled,CALCULATION_ERROR,Medium,Investigate calculation routine and recalculate charge,Open - Review Required
ISS007,ICP000316-202602,ICP000316,RET005,2026-02,RES,50.9,56.15,5.25,Overbilled,CALCULATION_ERROR,Medium,Investigate calculation routine and recalculate charge,Open - Review Required
ISS008,ICP000337-202602,ICP000337,RET001,2026-02,RSU,71.02,91.4,20.38,Overbilled,DUPLICATE_CONSUMPTION,High,Remove duplicate component and rerun billing validation,Open - Review Required
ISS009,ICP000354-202602,ICP000354,RET001,2026-02,RSC,78.68,105.93,27.25,Overbilled,DUPLICATE_CONSUMPTION,High,Remove duplicate component and rerun billing validation,Open - Review Required
ISS010,ICP000433-202602,ICP000433,RET002,2026-02,RES,47.56,48.78,1.22,Overbilled,INCORRECT_ICP_DAYS,Low,Correct billable day count and recalculate fixed charge,Open - Review Required
ISS011,ICP000021-202603,ICP000021,RET005,2026-03,URES,69.44,74.69,5.25,Overbilled,CALCULATION_ERROR,Medium,Investigate calculation routine and recalculate charge,Open - Review Required
ISS012,ICP000139-202603,ICP000139,RET003,2026-03,RES,74.09,75.3,1.22,Overbilled,INCORRECT_ICP_DAYS,Low,Correct billable day count and recalculate fixed charge,Open - Review Required
ISS013,ICP000234-202603,ICP000234,RET003,2026-03,RSC,100.52,105.24,4.72,Overbilled,WRONG_PRICE_CATEGORY,Low,"Confirm ICP category, correct master data and rebill",Open - Review Required
ISS014,ICP000263-202603,ICP000263,RET001,2026-03,URES,71.27,76.52,5.25,Overbilled,CALCULATION_ERROR,Medium,Investigate calculation routine and recalculate charge,Open - Review Required
ISS015,ICP000303-202603,ICP000303,RET005,2026-03,RES,65.94,71.19,5.25,Overbilled,CALCULATION_ERROR,Medium,Investigate calculation routine and recalculate charge,Open - Review Required
ISS016,ICP000326-202603,ICP000326,RET002,2026-03,RES,48.09,54.91,6.82,Overbilled,WRONG_PRICE_CATEGORY,Medium,"Confirm ICP category, correct master data and rebill",Open - Review Required
ISS017,ICP000363-202603,ICP000363,RET004,2026-03,RES,50.21,70.35,20.14,Overbilled,DUPLICATE_CONSUMPTION,High,Remove duplicate component and rerun billing validation,Open - Review Required
ISS018,ICP000448-202603,ICP000448,RET005,2026-03,RES,49.27,64.14,14.87,Overbilled,DUPLICATE_CONSUMPTION,Medium,Remove duplicate component and rerun billing validation,Open - Review Required
ISS019,ICP000450-202603,ICP000450,RET005,2026-03,RES,67.08,70.07,2.99,Overbilled,WRONG_PRICE_CATEGORY,Low,"Confirm ICP category, correct master data and rebill",Open - Review Required
ISS020,ICP000462-202603,ICP000462,RET002,2026-03,RES,63.77,64.98,1.22,Overbilled,INCORRECT_ICP_DAYS,Low,Correct billable day count and recalculate fixed charge,Open - Review Required
