requirement_id,business_need,requirement_description,solution_type,implementation_component,validation_method,test_evidence,operational_output,status
FR-01,Controlled pricing configuration,"Validate expected categories, components, units, component arithmetic and effective dates for each annual schedule",Configuration control,scripts/01_validate_price_schedules.py,Fail workflow when a rule is missing duplicated or inconsistent,run_all.py console validation,data/reference/price_schedule_2025.csv and data/reference/price_schedule_2026.csv,Implemented
FR-02,Linked-data reliability,"Validate unique retailer ICP and consumption keys plus valid cross-dataset relationships and categories",Existing validation function,scripts/04_validate_input_data.py,Automated input validation tests I01-I15,tests/input_data_validation_results.csv,Validated simulated master and consumption data,Implemented
FR-03,Effective-dated rule selection,"Select the price configuration that covers the complete billing period",Existing function plus configuration,scripts/02_analyse_price_changes.py and scripts/05_calculate_expected_billing.py,Boundary tests and period-validity tests,tests/price_effective_date_tests.csv and tests/expected_billing_validation_results.csv B04 B08,data/output/expected_billing_detail.csv,Implemented within complete-month scope
FR-04,Correct category and component matching,"Match each ICP quantity to one category and component price with a compatible unit",Existing calculation function,scripts/05_calculate_expected_billing.py,Missing-match unit and component-count tests,tests/expected_billing_validation_results.csv B03 B05 B06,data/output/expected_billing_detail.csv,Implemented
FR-05,Independent expected billing,"Calculate component-level and monthly expected delivery charges independently of simulated system billing",New validation function,scripts/05_calculate_expected_billing.py,Component-to-month arithmetic and source-population tests,tests/expected_billing_validation_results.csv B01 B02 B07 B10,data/output/expected_billing_detail.csv and data/output/expected_billing_summary.csv,Implemented
FR-06,Expected-versus-system reconciliation,"Compare every expected bill with its simulated system-billed result and assign PASS or REVIEW",New validation function,scripts/07_reconcile_billing.py,Population presence review-count and clean-bill tests,tests/billing_reconciliation_validation_results.csv R01-R04,data/output/billing_reconciliation.csv,Implemented
FR-07,Root-cause investigation,"Detect old price wrong category incorrect ICP days duplicate consumption and calculation error without reading the control answer table",New validation function,scripts/07_reconcile_billing.py,Controlled detection classification false-positive and false-negative tests,tests/billing_reconciliation_validation_results.csv R05-R08,data/output/billing_exception_log.csv,Implemented
FR-08,Actionable exception management,"Create an exception record with impact direction priority recommended action and status",Reporting plus operational process,scripts/07_reconcile_billing.py,Exception count and detected-impact reconciliation,tests/billing_reconciliation_validation_results.csv R03 R10,data/output/billing_exception_log.csv,Implemented in portfolio workflow
FR-09,Operational decision support,"Provide monthly retailer category price-impact and exception reporting",Existing reporting function,scripts/08_prepare_reporting_outputs.py,Reporting row count arithmetic and exception-count tests,tests/reporting_output_validation_results.csv P01-P10,data/output/revenue_monthly_summary.csv data/output/retailer_performance_summary.csv data/output/category_performance_summary.csv and powerbi/Orion_Revenue_Billing_Validation.pbix,Implemented
FR-10,Independent technical cross-check,"Reproduce expected billing reconciliation and reporting logic in executable SQL",Independent SQL implementation,scripts/09_validate_sql_workflow.py and sql/*.sql,Compare SQL and Python keys amounts populations and review counts,tests/sql_workflow_validation_results.csv SQL01-SQL08,Executable in-memory SQLite validation,Implemented
FR-11,Controlled end-to-end execution,"Run all nine stages in order and stop when an upstream validation fails",Existing orchestration function,run_all.py,Subprocess check raises on any non-zero stage,Successful run ends with ALL PROJECT STEPS PASSED,Reproducible end-to-end workflow,Implemented
FR-12,Annual pricing impact assessment,"Compare like-for-like charges under the 2025 and 2026 configurations while holding quantities and categories constant",Existing analysis function,scripts/08_prepare_reporting_outputs.py,Price-impact population arithmetic and scenario checks,tests/reporting_output_validation_results.csv P01-P04,data/output/pricing_impact_analysis.csv,Implemented
